Call Sign -  New this year,,SHIP ,TYPE,LOCATION
8S0HRA,SS,Sankt Erik,Icebreaker,"Stockholm, Sweden"
DF0MF,,Amrumbank /Deutsche Bucht ,Lightship,"Emden, Germany"
DK100DDSR,MS,Seefalke,Salvage Tug,"Bremerhaven, Germany"
DL0BRF,,BorkumRiff,Lightship,"Island Borkum, Germany"
DL0DMB ,,U-995,Submarine,"Laboe, Germany"
DL0MFH,MV,Cap San Diego,Cargo Ship,"Hamburg, Germany"
DL0MFM,MV,Iris-Joerg,Cargo Ship,"Wischhafen,Germany"
DL0MFN,KRS-575,Hans Beimler,Missle Corvette,"Peenemuende, Germany"
EH5DLF,S-61,Delfin,Submarine,Torrevieja Spain
II1NS ,,Nazario Sauro,Submarine,Genoa Italy
K1USN,,Watson Naval Shipbuilding Museum,Museum,"Braintree, MA"
K2EAG,USS,The Sullivans,Destroyer,"Buffalo, NY"
K3SAV,NS,Savanah,Nuclear Merchant Vessel,"Baltimore, MD"
K4D,USS,Orleck,Destroyer,"Jacksonville, FL"
K4DSR,USS,Drum,Submarine,"Mobile, AL"
K5BS,SS,Grandcamp Memorial,French Liberty Ship,"Texas City, TX"
K6AA,ST-695,Angels Gate,Army Tugboat,"San Pedro, CA"
K6JOB,SS,Jeremiah O'Brien,Liberty Ship,"San Francisco, CA"
K6YVM,SS,Red Oak Victory,Victory Ship,"Richmond, CA"
K7C ,USS,South Carolina Memorial,Cruiser,"Bremerton, WA"
K8E ,Col. James M,Schoonmaker,Bulk Carrier,"Toledo, OH"
K8JWB,SS,John W Brown,Liberty Ship,"Baltimore, MD"
KH6BB,USS,Missouri,Battleship,"Pearl Harbor, HI"
KH6SP  ,USS,Bowfin,Submarine,"Pearl Harbor, HI"
KN4RAM  (Sat Jun 1 only),CSS,Neuse,Civil War - Iron Clad Gunboat,"Kinston, NC"
KQ4RXA,USS,Alabama,Battleship,"Mobile, AL"
N0K,USS,Pueblo Memorial,Research Ship,"Pueblo, CO"
N0P,USS,Montrose Memorial,Attack Transport (Haskell Class),"Montrose, CO"
N1S,USS,Nautilus SSN,Submarine,"Groton, CT"
N1SLM ,USS,Salem,Cruiser,"Quincy, MA"
N3ARB,USS,Croaker,Submarine,"Buffalo, NY"
N4HLH,,H L Hunley,Submarine - Civil War,Charleston SC
N4WIS,USS,Wisconsin,Battleship,"Norfolk, VA"
N5E  ,,Tall Ship Elissa,Sailing barque,"Galveston Island, TX"
N5FKP ,USS,Cavalla,Submarine,"Galveston, TX"
N5FKP  ,USS,Stewart,Destroyer Escort,"Galveston, TX"
N5H,USS,Hoga (YT-146),Tugboat/Cargo Transport,N. Little Rock AR
N5R,USS,Razorback,Submarine,N. Little Rock AR
N6MSO,USS,Lucid,Minesweeper,"Stockton, CA"
N7F,,Farragut Nav Training Sta.Brig,Naval Training Station,"Athol, ID"
N7P  ,USS,Parche Memorial,Submarine ,"Bremerton, WA"
N8LST,,LST-393,LST,"Muskegon, MI"
N8SUB,USS,Silversides,Submarine,"Muskegon, MI"
NB6GC ,USS,Hornet,Aircraft Carrier,Alameda Pt. CA
