K1USN     ,K1USN                                  ,Watson Museum                       ,"Braintree, MA                   "
WA4USN    ,USS Yorktown                           ,Aircraft Carrier                    ,"Charleston, SC                  "
NI6IW    ,USS Midway                             ,Aircraft Carrier                    ,"San Diego, CA                   "
W5LEX   ,USS Lexington                          ,Aircraft Carrier                    ,"Corpus Christi, TX              "
NB6GC    ,USS Hornet                             ,Aircraft Carrier                    ,"Alameda Point, CA               "
K6AA       ,ST-695 Angels Gate                     ,Army Tugboat                        ,"San Pedro, CA                   "
N0P     ,USS Montrose Memorial                  ,Attack Transport(Haskell Class)     ,"Montrose, CO                    "
NJ2BB   ,USS New Jersey                         ,Battleship                          ,"Camden, New Jersey              "
NI4BK    ,USS North Carolina                     ,Battleship                          ,"Wilmington, NC                  "
K4DSR   ,USS Alabama                            ,Battleship                          ,"Mobile, AL                      "
NI6BB    ,USS Iowa                               ,Battleship                          ,"San Pedro, CA                   "
N4WIS    ,USS Wisconsin                          ,Battleship                          ,"Norfolk, Virginia               "
NE1PL    ,USS Massachusetts                      ,Battleship                          ,"Fall River, MA                  "
KH6BB    ,USS Missouri                           ,Battleship                          ,"Pearl Harbor, HI                "
N5T  ,USS Texas (BB-65)Dry Dock              ,Battleship                          ,"Galveston Island, TX            "
WW2OK     ,USS Oklahoma Mast Memorial             ,Battleship Mast Memorial            ,"Muskogee, OK                    "
W4BSF    ,**USS Tennessee Museum                 ,Battleship Museum                   ,"Oneida, TN                      "
K8E     ,SS Col. James M Schoonmaker            ,Bulk Carrier                        ,"Toledo, OH                      "
DL0MCM    ,Ex MV Dresden                          ,Cargo Ship                          ,"Rostock, Germany                "
DL0MFM    ,MV Iris-Joerg                          ,Cargo Ship                          ,"Wischhafen,Germany              "
OE3XHS     ,GK10065                                ,Cargo Ship                          ,"Danube, near Vienna, Austria     "
W4NNK    ,Claud W Somers                         ,Chesapeake Bay Skipjack             ,"Reedville, VA                   "
  KN4RAM    ,CSS Neuse  (Jun 3 only)                ,  Civil War - Ironclad Gunboat      ,"  Kinston, NC                   "
NE6JP     ,USS Potomac                            ,CG Cutter/Pres. Yacht               ,"Oakland, CA.                    "
N1SLM    ,USS Salem                              ,Cruiser                             ,"Quincy, MA                      "
WW2IND     ,USS Indianapolis CA-35 Memorial        ,Cruiser                             ,"Indianapolis, IN                "
W2PE     ,USS Littlerock                         ,Cruiser                             ,"Buffalo, NY                     "
N7N    ,USS South Carolina CGN-37 Memorial     ,Cruiser                             ,"Bremerton, WA                   "
NS7DD     ,USS Turner Joy                         ,Destroyer                           ,"Bremerton, WA                   "
NT4HI    ,USS Laffey                             ,Destroyer                           ,"Charleston, SC                  "
W5KID     ,USS Kidd                               ,Destroyer                           ,"Baton Rouge, La                 "
VK2VMP    ,**HMAS Vampire                         ,Destroyer                           ,"Sydney, Australia               "
W4A     ,**USS Orleck                           ,Destroyer                           ,"Jacksonville, FL                "
    WW2DD    ,USS Cassin Young (Jun 4 only 1330z to 1800z),Destroyer                      ,"    Boston, MA                  "
W8EDS     ,USS Edson DD946                        ,Destroyer                           ,"Bay City, MI                    "
WW2DEM    ,USS Slater                             ,Destroyer Escort                    ,"Albany, NY                      "
N5FKP    ,USS Stewart                            ,Destroyer Escort                    ,"Galveston, TX                   "
K2EAG     ,USS The Sullivans                      ,Destroyer                           ,"Buffalo, NY                     "
TBA        ,Evelina M Goulart                      ,Fishing Schooner                    ,"Essex, MA                       "
K5BS     ,SS Grandcamp Memorial                  ,French Liberty Ship                 ,"Texas City, TX                  "
OZ1RDN    ,**HDMS Peder Skram                     ,Frigate                             ,"Copenhagen, Denmark             "
